# a, b, af, bf, as, bs, afs, bfs, alfa1, beta1, alfa2, beta2, vol, fibstretch 
1.30679407e+02,  4.56031465e+00,  1.11235345e+02,  1.25728067e+01,  4.14781420e+02,  3.98371937e+00,  3.02934507e+02,  9.46148873e+00,  8.96264971e-01,  4.26025038e+00,  8.24173932e-03,  4.06656519e+01,  1.13706929e+02,  1.15256793e+00
1.69442707e+02,  5.43474255e+00,  8.37478460e+01,  1.21052966e+01,  3.92291595e+02,  3.67238765e+00,  4.49139012e+02,  1.01559388e+01,  1.07392197e+00,  4.08368136e+00,  1.26828329e-02,  3.83174297e+01,  1.11630896e+02,  1.14977009e+00
1.81477282e+02,  4.78243823e+00,  1.28212642e+02,  1.05716642e+01,  3.39210115e+02,  6.37823104e+00,  4.80063569e+02,  1.29268696e+01,  1.19765703e+00,  4.26829841e+00,  9.19009843e-03,  4.31380341e+01,  1.09455758e+02,  1.14034797e+00
1.63846161e+02,  7.08552837e+00,  1.13692851e+02,  1.27309215e+01,  4.46104783e+02,  5.14398976e+00,  4.87651804e+02,  1.20242018e+01,  1.90894681e+00,  4.22433033e+00,  1.16729541e-02,  4.39703705e+01,  1.03374049e+02,  1.13152398e+00
1.08402479e+02,  5.40021244e+00,  1.26433618e+02,  8.59872039e+00,  3.01656692e+02,  5.49918228e+00,  3.09415558e+02,  1.05664607e+01,  8.16421044e-01,  4.52169378e+00,  6.66809880e-03,  4.27730520e+01,  1.14140604e+02,  1.15037722e+00
1.53599659e+02,  7.14785405e+00,  1.30522052e+02,  9.52265671e+00,  3.28386336e+02,  3.77856661e+00,  4.23971416e+02,  9.30885441e+00,  1.50952731e+00,  4.33463612e+00,  1.10189668e-02,  4.23556073e+01,  1.06262558e+02,  1.13846369e+00
1.19246328e+02,  7.47222062e+00,  1.31990103e+02,  8.82234571e+00,  3.70647703e+02,  5.19173145e+00,  3.83124547e+02,  9.07874186e+00,  1.50429162e+00,  4.50902239e+00,  8.50104773e-03,  4.49430193e+01,  1.06038329e+02,  1.13655902e+00
1.79150550e+02,  6.32343522e+00,  9.03591240e+01,  1.40907752e+01,  3.20355096e+02,  5.17160630e+00,  5.16419554e+02,  1.28210752e+01,  1.57978013e+00,  4.30519763e+00,  1.09221661e-02,  4.29570291e+01,  1.05704433e+02,  1.13652463e+00
1.14072386e+02,  7.41897634e+00,  9.86927253e+01,  1.20159797e+01,  3.89059844e+02,  6.67569174e+00,  5.02056134e+02,  1.28201095e+01,  1.73683549e+00,  4.65918531e+00,  7.33070533e-03,  4.76674628e+01,  1.04114026e+02,  1.13174170e+00
1.54436265e+02,  5.38930000e+00,  1.26799769e+02,  1.06226521e+01,  3.20912399e+02,  6.65080107e+00,  5.14498314e+02,  8.67643365e+00,  1.24745739e+00,  4.41123537e+00,  8.10092492e-03,  4.45745424e+01,  1.08587872e+02,  1.13881251e+00
