# a, b, af, bf, alfa1, beta1, alfa2, beta2, vol, fibstretch 
  1.11264580e+02,  4.71795526e+00,  1.30248400e+02,  8.53354035e+00,  2.73490960e-01,  4.86457623e+00,  4.77866405e-03,  3.70887334e+01,  1.29028655e+02,  1.18607770e+00
  1.85885961e+02,  6.17604554e+00,  9.62219814e+01,  1.27787248e+01,  9.92634591e-01,  4.68650984e+00,  6.58497999e-03,  4.25448767e+01,  1.11020606e+02,  1.15168846e+00
  1.14423170e+02,  5.63650018e+00,  1.31688323e+02,  1.47599631e+01,  5.32534798e-01,  5.12038905e+00,  3.69794973e-03,  4.36315155e+01,  1.17757753e+02,  1.16286433e+00
  1.09630507e+02,  7.05260003e+00,  1.16682732e+02,  1.35784665e+01,  8.88750581e-01,  5.37664529e+00,  3.41681745e-03,  4.74877381e+01,  1.10680689e+02,  1.15069603e+00
  1.10352323e+02,  7.19649018e+00,  1.32594231e+02,  1.46195437e+01,  9.90638173e-01,  5.37534138e+00,  3.47002740e-03,  4.82933149e+01,  1.09463833e+02,  1.14763092e+00
  1.57601536e+02,  4.80056518e+00,  1.35948130e+02,  1.41215019e+01,  5.04620157e-01,  4.63035273e+00,  5.68412449e-03,  3.95256596e+01,  1.20827269e+02,  1.16838607e+00
  1.05149074e+02,  4.59906698e+00,  1.20209446e+02,  8.72754328e+00,  2.36750686e-01,  4.92312910e+00,  4.36395797e-03,  3.69235206e+01,  1.30939616e+02,  1.18989578e+00
  1.80971795e+02,  7.00115739e+00,  1.16702864e+02,  9.24229378e+00,  1.28396843e+00,  4.76577376e+00,  6.16316316e-03,  4.52569688e+01,  1.07607662e+02,  1.14369296e+00
  1.55443651e+02,  6.65480401e+00,  1.31900481e+02,  1.46792490e+01,  1.09990407e+00,  4.92846886e+00,  5.24139934e-03,  4.54806442e+01,  1.09159226e+02,  1.14697080e+00
  1.27782655e+02,  5.15244681e+00,  1.05374802e+02,  1.51917748e+01,  4.62221083e-01,  4.98424500e+00,  3.81619048e-03,  4.21247903e+01,  1.20307129e+02,  1.16823767e+00
  1.69851544e+02,  5.21761439e+00,  1.22833321e+02,  1.50368697e+01,  6.61017572e-01,  4.64601912e+00,  5.93507855e-03,  4.08319074e+01,  1.16735422e+02,  1.16138040e+00
  1.08808568e+02,  7.76842854e+00,  9.91037204e+01,  9.86750638e+00,  1.06746149e+00,  5.47612175e+00,  3.13932584e-03,  4.93681301e+01,  1.08467768e+02,  1.14653737e+00
  1.06165946e+02,  5.15646694e+00,  8.53323047e+01,  8.94656375e+00,  3.01987560e-01,  5.08715564e+00,  3.89203120e-03,  3.90844392e+01,  1.25948880e+02,  1.18201648e+00
  1.69245425e+02,  6.57816380e+00,  9.84233739e+01,  1.51035808e+01,  1.11896393e+00,  4.87858254e+00,  5.45455270e-03,  4.49974174e+01,  1.09055522e+02,  1.14764125e+00
  1.23922085e+02,  6.26812543e+00,  1.30609636e+02,  9.64083755e+00,  6.68309855e-01,  5.04594099e+00,  4.56730172e-03,  4.31662781e+01,  1.15069438e+02,  1.15917433e+00
  1.37860434e+02,  5.98578559e+00,  1.32109311e+02,  1.03467330e+01,  6.72301686e-01,  4.89604895e+00,  5.23280512e-03,  4.20357372e+01,  1.15524980e+02,  1.16001021e+00
  1.15109383e+02,  6.28370562e+00,  1.02983611e+02,  1.19108115e+01,  6.34173014e-01,  5.21147967e+00,  3.80383236e-03,  4.41400115e+01,  1.15169699e+02,  1.16018740e+00
  1.26867108e+02,  5.82472033e+00,  1.39890634e+02,  1.48168182e+01,  6.52094005e-01,  5.02395472e+00,  4.27832422e-03,  4.37587482e+01,  1.15457480e+02,  1.15849863e+00
  1.12071009e+02,  4.80113988e+00,  1.11411772e+02,  8.33785796e+00,  2.76663449e-01,  4.90027421e+00,  4.61305290e-03,  3.73171371e+01,  1.28579376e+02,  1.18597972e+00
  1.11551346e+02,  4.33521070e+00,  9.70025297e+01,  1.33379711e+01,  2.42823479e-01,  4.98668160e+00,  3.15277425e-03,  3.95346372e+01,  1.30015808e+02,  1.18585201e+00
  1.39899308e+02,  6.87696679e+00,  1.05077288e+02,  1.27961494e+01,  1.01252670e+00,  5.09260644e+00,  4.49432447e-03,  4.59664333e+01,  1.09801718e+02,  1.14917871e+00
  1.62078108e+02,  7.17119273e+00,  1.48236906e+02,  1.05237771e+01,  1.30005058e+00,  4.88178273e+00,  5.69437694e-03,  4.61066672e+01,  1.07257614e+02,  1.14281829e+00
  1.48249135e+02,  4.95325542e+00,  9.28712775e+01,  1.27546363e+01,  4.53006126e-01,  4.76251636e+00,  5.15579925e-03,  3.92113453e+01,  1.21756359e+02,  1.17282408e+00
  1.71638133e+02,  7.39984580e+00,  1.24940698e+02,  1.02752188e+01,  1.45855048e+00,  4.88089533e+00,  5.67412256e-03,  4.69064464e+01,  1.05920542e+02,  1.14031162e+00
  1.37780423e+02,  6.85632435e+00,  8.35715001e+01,  9.54488376e+00,  9.02802081e-01,  5.10096140e+00,  4.32620872e-03,  4.54313553e+01,  1.11154610e+02,  1.15205271e+00
  1.88368514e+02,  5.00168601e+00,  1.22262051e+02,  1.23392173e+01,  6.26178592e-01,  4.45089676e+00,  7.60465936e-03,  3.82641444e+01,  1.18433595e+02,  1.16555937e+00
  1.17186405e+02,  6.48261937e+00,  1.13802793e+02,  1.13395975e+01,  7.06166444e-01,  5.19371567e+00,  3.96826603e-03,  4.45980495e+01,  1.13888429e+02,  1.15732687e+00
  1.29352289e+02,  5.46817540e+00,  9.10228828e+01,  9.57771650e+00,  4.57077669e-01,  4.93231106e+00,  4.74909660e-03,  4.00335665e+01,  1.20738498e+02,  1.17149586e+00
  1.33180278e+02,  5.27486037e+00,  9.22999565e+01,  1.27795185e+01,  4.68510608e-01,  4.93294894e+00,  4.46484198e-03,  4.06619674e+01,  1.20372634e+02,  1.17033707e+00
  1.67449765e+02,  4.42086580e+00,  9.49653956e+01,  1.02591847e+01,  3.76438580e-01,  4.48021867e+00,  6.89165900e-03,  3.55937439e+01,  1.26542231e+02,  1.18230837e+00
  1.86797203e+02,  4.80893651e+00,  8.31036627e+01,  9.65823787e+00,  5.00216428e-01,  4.42993955e+00,  7.77473486e-03,  3.63906433e+01,  1.22123724e+02,  1.17413828e+00
  1.64406646e+02,  5.65577100e+00,  8.50765629e+01,  1.17456158e+01,  6.75952497e-01,  4.74883323e+00,  5.89158516e-03,  4.07148118e+01,  1.16010081e+02,  1.16219527e+00
  1.52250178e+02,  5.06008612e+00,  8.96425752e+01,  1.15211733e+01,  4.73132357e-01,  4.72934599e+00,  5.59611510e-03,  3.87851949e+01,  1.21283795e+02,  1.17243918e+00
  1.50527362e+02,  5.48227066e+00,  1.09249367e+02,  1.23977555e+01,  6.00934558e-01,  4.79335117e+00,  5.45494222e-03,  4.07409845e+01,  1.17476366e+02,  1.16425512e+00
  1.23034631e+02,  7.65841345e+00,  1.36050037e+02,  1.18145147e+01,  1.23756874e+00,  5.28128397e+00,  3.94215137e-03,  4.87531442e+01,  1.07183778e+02,  1.14316110e+00
  1.86799677e+02,  4.98222437e+00,  1.07130133e+02,  1.10341533e+01,  5.82771229e-01,  4.45284092e+00,  7.66853509e-03,  3.76162183e+01,  1.19545244e+02,  1.16841150e+00
  1.93136664e+02,  5.71998372e+00,  1.09798343e+02,  8.72376349e+00,  7.98672075e-01,  4.49293906e+00,  7.64824729e-03,  3.99279525e+01,  1.14630166e+02,  1.15807470e+00
  1.12657188e+02,  6.86196692e+00,  1.21670231e+02,  9.64516621e+00,  7.75005608e-01,  5.25710032e+00,  3.80611508e-03,  4.56725229e+01,  1.12575759e+02,  1.15442318e+00
  1.53069228e+02,  7.24292952e+00,  1.40742481e+02,  1.51178314e+01,  1.38138377e+00,  5.01620366e+00,  5.00875067e-03,  4.75990290e+01,  1.06349301e+02,  1.14109127e+00
  1.30195064e+02,  5.88215453e+00,  1.27069179e+02,  1.09833031e+01,  6.10914706e-01,  4.95937286e+00,  4.84475060e-03,  4.20172654e+01,  1.16572020e+02,  1.16220742e+00
